Артикул;Назва товару;Ціна (грн)
11-18-27-2;LED лампа LEBRON L-A138-5065 50W перехідник Е27/Е40 6500K 230V;294
12-05-01;Корпус для світильника LEBRON L-DL-R-Wh MR16 вбудований білий пластик;63.6
12-05-02;Корпус для світильника LEBRON L-DL-R-Bl MR16 вбудований чорний пластик;63.6
12-05-07;Корпус для світильника LEBRON L-DL-S2-Bl 2*MR16 вбудований чорний пластик;106.5
12-05-20;Корпус для світильника LEBRON L-DL-R-Wh MR16 вбудований поворотний білий пластик;63.6
12-05-21;Корпус для світильника LEBRON L-DL-R-Bl MR16 вбудований поворотний чорний пластик;63.6
12-05-22;Корпус для світильника LEBRON L-DL-R-WhS MR16 вбудований поворотний білий зі сріблом пластик;60
12-05-23;Корпус для світильника LEBRON L-DL-R-BlG MR16 вбудований поворотний чорний з золотим пластик;60
12-05-28;Корпус для світильника LEBRON L-DL-S-Wh MR16 вбудований поворотний білий пластик;73.2
12-05-29;Корпус для світильника LEBRON L-DL-S-Bl MR16 вбудований поворотний чорний пластик;73.2
12-05-36;Корпус для світильника LEBRON L-DL-S2-Wh 2*MR16 вбудований поворотний білий пластик;108.6
12-05-37;Корпус для світильника LEBRON L-DL-S2-Bl 2*MR16 вбудований поворотний чорний пластик;108.6
12-05-40;Корпус для світильника LEBRON L-DL-S3-Wh 3*MR16 вбудований поворотний білий пластик;141
12-05-41;Корпус для світильника LEBRON L-DL-S3-Bl 3*MR16 вбудований поворотний чорний пластик;126
12-06-10;Корпус для світильника LEBRON L-DL-R-Wh MR16 накладний білий пластик;98.4
12-06-11;Корпус для світильника LEBRON L-DL-R-Bl MR16 накладний чорний пластик;168
12-06-12;Корпус для світильника LEBRON L-DL-R-WhBl MR16 накладний білий з чорним пластик;88.8
12-06-13;Корпус для світильника LEBRON L-DL-R-BlG MR16 накладний чорний з золотим пластик;101.1
12-08-32-2;LED світильник LEBRON L-DR-540-Bl 5W 4000K чорний 230V;49.2
12-08-34-1;LED світильник LEBRON L-DR-940-Wh 9W 4000K білий 230V;#N/A
12-08-36-2;LED світильник LEBRON L-DR-940-Bl 9W 4000K чорний 230V;69
12-08-38-2;LED світильник LEBRON L-DR-1240-Wh 12W 4000K білий 230V;89.1
12-08-40-2;LED світильник LEBRON L-DR-1240-Bl 12W 4000K чорний 230V;89.1
12-08-42-2;LED світильник LEBRON L-DR-1840-Wh 18W 4000K білий 230V;139.2
12-08-44-1;LED світильник LEBRON L-DR-1840-Bl 18W 4000K чорний 230V;#N/A
12-08-46-2;LED світильник LEBRON L-DR-2240-Wh 22W 4000K білий 230V;180
12-08-48-1;LED світильник LEBRON L-DR-2240-Bl 22W 4000K чорний 230V;#N/A
12-09-07-2;LED світильник LEBRON L-DL-R-741 поворотний 7W 4100K 230V;69
12-09-17-2;LED світильник LEBRON L-DL-S-741 поворотний 7W 4100K 230V;69
12-09-63;LED світильник LEBRON L-DL-R 9W 4100K 720Lm 220V;45.9
12-09-66;LED світильник LEBRON L-DL-R 12W 4100K 960Lm 220V;57.9
12-09-72;LED світильник LEBRON L-DL-R 18W 4100K 1440Lm 220V;75.9
12-09-78;LED світильник LEBRON L-DL-S 9W 4100K 720Lm 220V;52.8
12-09-81;LED світильник LEBRON L-DL-S 12W 4100K 960Lm 220V;64.8
12-09-87;LED світильник LEBRON L-DL-S 18W 4100K 1440Lm 220V;84.6
12-10-03;LED св-к LEBRON L-PR-341 3W вб-ний 4100K з блоком живлення;60
12-10-06;LED св-к LEBRON L-PR-641 6W вб-ний 4100K з блоком живлення;72.9
12-10-09;LED св-к LEBRON L-PR-941 9W вб-ний 4100K з блоком живлення;97.2
12-10-12;LED св-к LEBRON L-PR-1241 12W вб-ний 4100K з блоком живлення;102
12-10-18;LED св-к LEBRON L-PR-1841 18W вб-ний 4100K з блоком живлення;127.2
12-10-19;LED св-к LEBRON L-PR-1865 18W вб-ний 6500K з блоком живлення;127.2
12-10-25;LED св-к LEBRON L-PR-2465 24W вб-ний 6500K з блоком живлення;207
12-10-34;LED св-к LEBRON L-PS-641 6W вб-ний 4100K з блоком живлення;84.6
